case_type,stage,state,days_pending_so_far,past_adjournments,days_to_disposal
Criminal,Evidence,Bihar,0,0,46
Criminal,Evidence,Bihar,0,0,14
Civil,Passing of Orders,Andhra Pradesh,0,0,5
Civil,Passing of Orders,Andhra Pradesh,0,0,3116
Civil,Passing of Orders,Andhra Pradesh,0,0,2
Civil,Passing of Orders,Andhra Pradesh,0,0,1388
Civil,Passing of Orders,Andhra Pradesh,0,0,644
Civil,Passing of Orders,Andhra Pradesh,0,0,2
Civil,Passing of Orders,Andhra Pradesh,0,0,4
Civil,Passing of Orders,Andhra Pradesh,0,0,4978
Civil,Passing of Orders,Andhra Pradesh,0,0,3
Civil,Passing of Orders,Andhra Pradesh,0,0,74
Civil,Passing of Orders,Andhra Pradesh,0,0,3136
Civil,Passing of Orders,Andhra Pradesh,0,0,9
Civil,Passing of Orders,Andhra Pradesh,0,0,5
Civil,Passing of Orders,Andhra Pradesh,0,0,482
Civil,Passing of Orders,Andhra Pradesh,0,0,6546
Civil,Passing of Orders,Andhra Pradesh,0,0,3
Civil,Passing of Orders,Andhra Pradesh,0,0,266
Civil,Passing of Orders,Andhra Pradesh,0,0,3243
Civil,Passing of Orders,Andhra Pradesh,0,0,1358
Civil,Passing of Orders,Andhra Pradesh,0,0,266
Civil,Passing of Orders,Andhra Pradesh,0,0,1771
Civil,Passing of Orders,Andhra Pradesh,0,0,3451
Civil,Passing of Orders,Andhra Pradesh,0,0,35
Civil,Passing of Orders,Andhra Pradesh,0,0,22
Civil,Passing of Orders,Andhra Pradesh,0,0,1767
Civil,Passing of Orders,Andhra Pradesh,0,0,2156
Civil,Passing of Orders,Andhra Pradesh,0,0,4
Civil,Passing of Orders,Andhra Pradesh,0,0,274
Civil,Passing of Orders,Andhra Pradesh,0,0,35
Civil,Passing of Orders,Andhra Pradesh,0,0,693
Civil,Passing of Orders,Andhra Pradesh,0,0,1287
Civil,Passing of Orders,Andhra Pradesh,0,0,6
Civil,Passing of Orders,Andhra Pradesh,0,0,102
Civil,Passing of Orders,Andhra Pradesh,0,0,2435
Civil,Passing of Orders,Andhra Pradesh,0,0,2414
Civil,Passing of Orders,Andhra Pradesh,0,0,69
Civil,Passing of Orders,Andhra Pradesh,0,0,20
Civil,Passing of Orders,Andhra Pradesh,0,0,6
Civil,Passing of Orders,Andhra Pradesh,0,0,1087
Civil,Passing of Orders,Andhra Pradesh,0,0,165
Civil,Passing of Orders,Andhra Pradesh,0,0,1693
Civil,Passing of Orders,Andhra Pradesh,0,0,65
Civil,Passing of Orders,Andhra Pradesh,0,0,697
Civil,Passing of Orders,Andhra Pradesh,0,0,20
Civil,Passing of Orders,Andhra Pradesh,0,0,1700
Civil,Passing of Orders,Andhra Pradesh,0,0,5
Civil,Passing of Orders,Andhra Pradesh,0,0,2
Civil,Passing of Orders,Andhra Pradesh,0,0,700
Civil,Passing of Orders,Andhra Pradesh,0,0,699
Civil,Passing of Orders,Andhra Pradesh,0,0,2840
Civil,Passing of Orders,Andhra Pradesh,0,0,885
Civil,Passing of Orders,Andhra Pradesh,0,0,35
Civil,Passing of Orders,Andhra Pradesh,0,0,853
Civil,Passing of Orders,Andhra Pradesh,0,0,1269
Civil,Passing of Orders,Andhra Pradesh,0,0,547
Civil,Passing of Orders,Andhra Pradesh,0,0,2696
Civil,Passing of Orders,Andhra Pradesh,0,0,1359
Civil,Passing of Orders,Andhra Pradesh,0,0,45
Civil,Passing of Orders,Andhra Pradesh,0,0,1675
Civil,Passing of Orders,Andhra Pradesh,0,0,690
Civil,Passing of Orders,Andhra Pradesh,0,0,2963
Civil,Passing of Orders,Andhra Pradesh,0,0,1358
Civil,Passing of Orders,Andhra Pradesh,0,0,45
Civil,Passing of Orders,Andhra Pradesh,0,0,2931
Civil,Passing of Orders,Andhra Pradesh,0,0,11
Civil,Passing of Orders,Andhra Pradesh,0,0,2
Civil,Passing of Orders,Andhra Pradesh,0,0,22
Civil,Passing of Orders,Andhra Pradesh,0,0,3159
Civil,Passing of Orders,Andhra Pradesh,0,0,24
Civil,Passing of Orders,Andhra Pradesh,0,0,861
Civil,Passing of Orders,Andhra Pradesh,0,0,2904
Civil,Passing of Orders,Andhra Pradesh,0,0,690
Civil,Passing of Orders,Andhra Pradesh,0,0,705
Civil,Passing of Orders,Andhra Pradesh,0,0,8
Civil,Passing of Orders,Andhra Pradesh,0,0,689
Civil,Passing of Orders,Andhra Pradesh,0,0,2928
Civil,Passing of Orders,Andhra Pradesh,0,0,691
Civil,Passing of Orders,Andhra Pradesh,0,0,695
Civil,Passing of Orders,Andhra Pradesh,0,0,2369
Civil,Passing of Orders,Andhra Pradesh,0,0,1511
Civil,Passing of Orders,Andhra Pradesh,0,0,5509
Civil,Passing of Orders,Andhra Pradesh,0,0,2150
Civil,Passing of Orders,Andhra Pradesh,0,0,51
Civil,Passing of Orders,Andhra Pradesh,0,0,768
Civil,Passing of Orders,Andhra Pradesh,0,0,29
Civil,Passing of Orders,Andhra Pradesh,0,0,570
Civil,Passing of Orders,Andhra Pradesh,0,0,696
Civil,Passing of Orders,Andhra Pradesh,0,0,2355
Civil,Passing of Orders,Andhra Pradesh,0,0,11
Civil,Passing of Orders,Andhra Pradesh,0,0,249
Civil,Passing of Orders,Andhra Pradesh,0,0,879
Civil,Passing of Orders,Andhra Pradesh,0,0,697
Civil,Passing of Orders,Andhra Pradesh,0,0,3
Civil,Passing of Orders,Andhra Pradesh,0,0,700
Civil,Passing of Orders,Andhra Pradesh,0,0,58
Civil,Passing of Orders,Andhra Pradesh,0,0,702
Civil,Passing of Orders,Andhra Pradesh,0,0,1262
Civil,Passing of Orders,Andhra Pradesh,0,0,3
Criminal,Passing of Orders,Andhra Pradesh,0,0,5484
Criminal,Passing of Orders,Andhra Pradesh,0,0,3044
Criminal,Passing of Orders,Andhra Pradesh,0,0,2635
Criminal,Passing of Orders,Andhra Pradesh,0,0,2906
Criminal,Passing of Orders,Andhra Pradesh,0,0,5690
Criminal,Passing of Orders,Andhra Pradesh,0,0,2972
Criminal,Passing of Orders,Andhra Pradesh,0,0,2814
Criminal,Passing of Orders,Andhra Pradesh,0,0,2852
Criminal,Passing of Orders,Andhra Pradesh,0,0,49
Criminal,Passing of Orders,Andhra Pradesh,0,0,419
Criminal,Passing of Orders,Andhra Pradesh,0,0,1169
Criminal,Passing of Orders,Andhra Pradesh,0,0,1813
Criminal,Passing of Orders,Andhra Pradesh,0,0,2827
Criminal,Passing of Orders,Andhra Pradesh,0,0,1094
Criminal,Passing of Orders,Andhra Pradesh,0,0,3123
Criminal,Passing of Orders,Andhra Pradesh,0,0,6658
Criminal,Passing of Orders,Andhra Pradesh,0,0,5190
Criminal,Passing of Orders,Andhra Pradesh,0,0,118
Criminal,Passing of Orders,Andhra Pradesh,0,0,760
Criminal,Passing of Orders,Andhra Pradesh,0,0,2807
Criminal,Passing of Orders,Andhra Pradesh,0,0,2737
Criminal,Passing of Orders,Andhra Pradesh,0,0,4778
Criminal,Passing of Orders,Andhra Pradesh,0,0,1622
Criminal,Passing of Orders,Andhra Pradesh,0,0,6040
Criminal,Passing of Orders,Andhra Pradesh,0,0,3059
Criminal,Passing of Orders,Andhra Pradesh,0,0,1057
Criminal,Passing of Orders,Andhra Pradesh,0,0,358
Criminal,Passing of Orders,Andhra Pradesh,0,0,3078
Criminal,Passing of Orders,Andhra Pradesh,0,0,2769
Criminal,Passing of Orders,Andhra Pradesh,0,0,2908
Criminal,Passing of Orders,Andhra Pradesh,0,0,2924
Criminal,Passing of Orders,Andhra Pradesh,0,0,2800
Criminal,Passing of Orders,Andhra Pradesh,0,0,5193
Criminal,Passing of Orders,Andhra Pradesh,0,0,358
Criminal,Passing of Orders,Andhra Pradesh,0,0,5719
Criminal,Passing of Orders,Andhra Pradesh,0,0,2881
Criminal,Passing of Orders,Andhra Pradesh,0,0,2857
Criminal,Passing of Orders,Andhra Pradesh,0,0,2868
Criminal,Passing of Orders,Andhra Pradesh,0,0,2790
Criminal,Passing of Orders,Andhra Pradesh,0,0,286
Criminal,Passing of Orders,Andhra Pradesh,0,0,2914
Criminal,Passing of Orders,Andhra Pradesh,0,0,2719
Criminal,Passing of Orders,Andhra Pradesh,0,0,2845
Criminal,Passing of Orders,Andhra Pradesh,0,0,15
Criminal,Passing of Orders,Andhra Pradesh,0,0,419
Criminal,Passing of Orders,Andhra Pradesh,0,0,508
Criminal,Passing of Orders,Andhra Pradesh,0,0,15
Criminal,Passing of Orders,Andhra Pradesh,0,0,5668
Criminal,Passing of Orders,Andhra Pradesh,0,0,5201
Criminal,Passing of Orders,Andhra Pradesh,0,0,5270
Criminal,Passing of Orders,Andhra Pradesh,0,0,1647
Criminal,Passing of Orders,Andhra Pradesh,0,0,2815
Criminal,Passing of Orders,Andhra Pradesh,0,0,604
Criminal,Passing of Orders,Andhra Pradesh,0,0,1899
Criminal,Passing of Orders,Andhra Pradesh,0,0,5668
Criminal,Passing of Orders,Andhra Pradesh,0,0,2992
Criminal,Passing of Orders,Andhra Pradesh,0,0,6919
Criminal,Passing of Orders,Andhra Pradesh,0,0,3046
Criminal,Passing of Orders,Andhra Pradesh,0,0,98
Criminal,Passing of Orders,Andhra Pradesh,0,0,1002
Criminal,Passing of Orders,Andhra Pradesh,0,0,5766
Criminal,Passing of Orders,Andhra Pradesh,0,0,5979
Criminal,Passing of Orders,Andhra Pradesh,0,0,2942
Criminal,Passing of Orders,Andhra Pradesh,0,0,2864
Criminal,Passing of Orders,Andhra Pradesh,0,0,2768
Criminal,Passing of Orders,Andhra Pradesh,0,0,5558
Criminal,Passing of Orders,Andhra Pradesh,0,0,3158
Criminal,Passing of Orders,Andhra Pradesh,0,0,2779
Criminal,Passing of Orders,Andhra Pradesh,0,0,1058
Criminal,Passing of Orders,Andhra Pradesh,0,0,22
Criminal,Passing of Orders,Andhra Pradesh,0,0,3091
Criminal,Passing of Orders,Andhra Pradesh,0,0,1058
Criminal,Passing of Orders,Andhra Pradesh,0,0,1058
Criminal,Passing of Orders,Andhra Pradesh,0,0,3003
Criminal,Passing of Orders,Andhra Pradesh,0,0,2779
Criminal,Passing of Orders,Andhra Pradesh,0,0,264
Criminal,Passing of Orders,Andhra Pradesh,0,0,602
Criminal,Passing of Orders,Andhra Pradesh,0,0,148
Criminal,Passing of Orders,Andhra Pradesh,0,0,2772
Criminal,Passing of Orders,Andhra Pradesh,0,0,1408
Criminal,Passing of Orders,Andhra Pradesh,0,0,238
Criminal,Passing of Orders,Andhra Pradesh,0,0,2534
Criminal,Passing of Orders,Andhra Pradesh,0,0,89
Criminal,Passing of Orders,Andhra Pradesh,0,0,238
Criminal,Passing of Orders,Andhra Pradesh,0,0,3308
Criminal,Passing of Orders,Andhra Pradesh,0,0,5
Criminal,Passing of Orders,Andhra Pradesh,0,0,2680
Criminal,Passing of Orders,Andhra Pradesh,0,0,1204
Criminal,Passing of Orders,Andhra Pradesh,0,0,2780
Criminal,Passing of Orders,Andhra Pradesh,0,0,1058
Criminal,Passing of Orders,Andhra Pradesh,0,0,5903
Criminal,Passing of Orders,Andhra Pradesh,0,0,3434
Criminal,Passing of Orders,Andhra Pradesh,0,0,1556
Criminal,Passing of Orders,Andhra Pradesh,0,0,2818
Criminal,Passing of Orders,Andhra Pradesh,0,0,2829
Criminal,Passing of Orders,Andhra Pradesh,0,0,1493
Criminal,Passing of Orders,Andhra Pradesh,0,0,2564
Criminal,Passing of Orders,Andhra Pradesh,0,0,5996
Criminal,Passing of Orders,Andhra Pradesh,0,0,2689
Property,Passing of Orders,Andhra Pradesh,0,0,6328
Property,Passing of Orders,Andhra Pradesh,0,0,5910
Property,Passing of Orders,Andhra Pradesh,0,0,5591
Property,Passing of Orders,Andhra Pradesh,0,0,6716
Property,Passing of Orders,Andhra Pradesh,0,0,2632
Property,Passing of Orders,Andhra Pradesh,0,0,6268
Property,Passing of Orders,Andhra Pradesh,0,0,6890
Property,Passing of Orders,Andhra Pradesh,0,0,2848
Property,Passing of Orders,Andhra Pradesh,0,0,6331
Property,Passing of Orders,Andhra Pradesh,0,0,9637
Property,Passing of Orders,Andhra Pradesh,0,0,4952
Property,Passing of Orders,Andhra Pradesh,0,0,5828
Property,Passing of Orders,Andhra Pradesh,0,0,1839
Property,Passing of Orders,Andhra Pradesh,0,0,4666
Property,Passing of Orders,Andhra Pradesh,0,0,4693
Property,Passing of Orders,Andhra Pradesh,0,0,5335
Property,Passing of Orders,Andhra Pradesh,0,0,2809
Property,Passing of Orders,Andhra Pradesh,0,0,2798
Property,Passing of Orders,Andhra Pradesh,0,0,4588
Property,Passing of Orders,Andhra Pradesh,0,0,6745
Property,Passing of Orders,Andhra Pradesh,0,0,5897
Property,Passing of Orders,Andhra Pradesh,0,0,3242
Property,Passing of Orders,Andhra Pradesh,0,0,4474
Property,Passing of Orders,Andhra Pradesh,0,0,4170
Property,Passing of Orders,Andhra Pradesh,0,0,6303
Property,Passing of Orders,Andhra Pradesh,0,0,2591
Property,Passing of Orders,Andhra Pradesh,0,0,3246
Property,Passing of Orders,Andhra Pradesh,0,0,1355
Property,Passing of Orders,Andhra Pradesh,0,0,1639
Property,Passing of Orders,Andhra Pradesh,0,0,57
Property,Passing of Orders,Andhra Pradesh,0,0,57
Property,Passing of Orders,Andhra Pradesh,0,0,1384
Property,Passing of Orders,Andhra Pradesh,0,0,1923
Property,Passing of Orders,Andhra Pradesh,0,0,1385
Property,Passing of Orders,Andhra Pradesh,0,0,1805
Property,Passing of Orders,Andhra Pradesh,0,0,1805
Property,Passing of Orders,Andhra Pradesh,0,0,334
