cnr,courtCode,courtName,stateCode,stateName,caseType,filingDate,decisionDate,caseDurationDays,cohort,filingYear,decisionYear,hasJudgments,tier
BRPU010049462024,BRPU01,"PDJ DIVISION, PURNEA",BR,Bihar,BA,2024-07-20,2024-09-04,46,2024_disposed,2024,2024,True,district
BRPU010049582024,BRPU01,"PDJ DIVISION, PURNEA",BR,Bihar,BA,2024-07-20,2024-08-03,14,2024_disposed,2024,2024,True,district
APHC010004992024,APHC01,"High Court, Andhra Pradesh",AP,Andhra Pradesh,WP_C,2024-01-04,2024-01-09,5,2024_disposed,2024,2024,True,hc
APHC010005102015,APHC01,"High Court, Andhra Pradesh",AP,Andhra Pradesh,WP_C,2015-06-29,2024-01-09,3116,2024_disposed,2015,2024,True,hc
APHC010011742024,APHC01,"High Court, Andhra Pradesh",AP,Andhra Pradesh,WP_C,2024-01-08,2024-01-10,2,2024_disposed,2024,2024,True,hc
APHC010004992021,APHC01,"High Court, Andhra Pradesh",AP,Andhra Pradesh,WP_C,2021-01-05,2024-10-24,1388,2024_disposed,2021,2024,True,hc
APHC010215922022,APHC01,"High Court, Andhra Pradesh",AP,Andhra Pradesh,WP_C,2022-04-28,2024-02-01,644,2024_disposed,2022,2024,True,hc
APHC010248442024,APHC01,"High Court, Andhra Pradesh",AP,Andhra Pradesh,WP_C,2024-06-18,2024-06-20,2,2024_disposed,2024,2024,True,hc
APHC010215912024,APHC01,"High Court, Andhra Pradesh",AP,Andhra Pradesh,WP_C,2024-05-03,2024-05-07,4,2024_disposed,2024,2024,True,hc
APHC010228872010,APHC01,"High Court, Andhra Pradesh",AP,Andhra Pradesh,WP_C,2010-12-16,2024-08-02,4978,2024_disposed,2010,2024,True,hc
APHC010248432024,APHC01,"High Court, Andhra Pradesh",AP,Andhra Pradesh,WP_C,2024-06-18,2024-06-21,3,2024_disposed,2024,2024,True,hc
APHC010215922024,APHC01,"High Court, Andhra Pradesh",AP,Andhra Pradesh,WP_C,2024-05-03,2024-07-16,74,2024_disposed,2024,2024,True,hc
APHC010058282015,APHC01,"High Court, Andhra Pradesh",AP,Andhra Pradesh,WP_C,2015-12-22,2024-07-23,3136,2024_disposed,2015,2024,True,hc
APHC010086262024,APHC01,"High Court, Andhra Pradesh",AP,Andhra Pradesh,WP_C,2024-02-20,2024-02-29,9,2024_disposed,2024,2024,True,hc
APHC010092222024,APHC01,"High Court, Andhra Pradesh",AP,Andhra Pradesh,WP_C,2024-02-22,2024-02-27,5,2024_disposed,2024,2024,True,hc
APHC010092212023,APHC01,"High Court, Andhra Pradesh",AP,Andhra Pradesh,WP_C,2023-02-23,2024-06-19,482,2024_disposed,2023,2024,True,hc
APHC010254132006,APHC01,"High Court, Andhra Pradesh",AP,Andhra Pradesh,WP_C,2006-11-24,2024-10-26,6546,2024_disposed,2006,2024,True,hc
APHC010266772024,APHC01,"High Court, Andhra Pradesh",AP,Andhra Pradesh,WP_C,2024-06-25,2024-06-28,3,2024_disposed,2024,2024,True,hc
APHC010092232024,APHC01,"High Court, Andhra Pradesh",AP,Andhra Pradesh,WP_C,2024-02-22,2024-11-14,266,2024_disposed,2024,2024,True,hc
APHC010083562016,APHC01,"High Court, Andhra Pradesh",AP,Andhra Pradesh,WP_C,2015-12-21,2024-11-06,3243,2024_disposed,2015,2024,True,hc
APHC010086252021,APHC01,"High Court, Andhra Pradesh",AP,Andhra Pradesh,WP_C,2021-02-26,2024-11-15,1358,2024_disposed,2021,2024,True,hc
APHC010092212024,APHC01,"High Court, Andhra Pradesh",AP,Andhra Pradesh,WP_C,2024-02-22,2024-11-14,266,2024_disposed,2024,2024,True,hc
APHC010066092020,APHC01,"High Court, Andhra Pradesh",AP,Andhra Pradesh,WP_C,2020-02-14,2024-12-20,1771,2020_filed,2020,2024,True,hc
APHC010066092020,APHC01,"High Court, Andhra Pradesh",AP,Andhra Pradesh,WP_C,2020-02-14,2024-12-20,1771,2024_disposed,2020,2024,True,hc
APHC010066092015,APHC01,"High Court, Andhra Pradesh",AP,Andhra Pradesh,WP_C,2015-01-28,2024-07-10,3451,2024_disposed,2015,2024,True,hc
APHC010069862024,APHC01,"High Court, Andhra Pradesh",AP,Andhra Pradesh,WP_C,2024-02-12,2024-03-18,35,2024_disposed,2024,2024,True,hc
APHC010072572024,APHC01,"High Court, Andhra Pradesh",AP,Andhra Pradesh,WP_C,2024-02-13,2024-03-06,22,2024_disposed,2024,2024,True,hc
APHC010072572020,APHC01,"High Court, Andhra Pradesh",AP,Andhra Pradesh,WP_C,2020-02-18,2024-12-20,1767,2020_filed,2020,2024,True,hc
APHC010072572020,APHC01,"High Court, Andhra Pradesh",AP,Andhra Pradesh,WP_C,2020-02-18,2024-12-20,1767,2024_disposed,2020,2024,True,hc
APHC010096662018,APHC01,"High Court, Andhra Pradesh",AP,Andhra Pradesh,WP_C,2018-02-08,2024-01-04,2156,2024_disposed,2018,2024,True,hc
APHC010096662024,APHC01,"High Court, Andhra Pradesh",AP,Andhra Pradesh,WP_C,2024-02-26,2024-03-01,4,2024_disposed,2024,2024,True,hc
